title	description	molecular subtype:ch1	patient id:ch1	istumor	seqdepth				
BC01_02	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	818	82			
BC01_03	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	1051	161			
BC01_04	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	915	92		ER+	82
BC01_05	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	964	183		HER2+	161
BC01_06	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	1158			ER+ and HER2+	92
BC01_08	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	983			TNBC	183
BC01_10	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	950				
BC01_12	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	1372				
BC01_33	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	1321				
BC01_34	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	948				
BC01_53	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	1039				
BC01_55	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	1457				
BC01_57	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	1173				
BC01_66	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	1044				
BC01_69	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	886				
BC01_70	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	1009				
BC01_72	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	808				
BC01_74	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	nonTumor	1002				
BC01_77	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	1044				
BC01_87	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	1054				
BC01_95	Single-cell RNA-seq	estrogen receptor positive (ER+)	BC01	Tumor	952				
BC04_01	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	897				
BC04_02	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	937				
BC04_05	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	NA	978				
BC04_07	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	815				
BC04_08	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	nonTumor	1256				
BC04_09	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	1162				
BC04_11	Single-cell RNA-seq	human epidermal growth factor receptor 2 positive (HER2+)	BC04	Tumor	762				
