[12.1942     1.0831449]
[12.522604   1.4811302]
[14.241143   2.7095938]
[12.99062   6.387649]
[13.729696  4.622671]
[13.660699   2.7546408]
[14.242507   2.5507627]
[16.144451    0.21030626]
[14.618819   2.8587842]
[15.011115   3.2448304]
[16.165247   -0.20412253]
[13.388934   2.4702618]
[12.161244   5.3626633]
[14.007106   1.4754982]
[12.927185  4.424934]
[15.354471  2.156714]
[14.777739  2.416076]
[15.410633   -0.01819969]
[13.585168   5.4142323]
[15.283962   3.0672896]
[15.536677  2.593132]
[15.878635  -0.7632251]
[11.481376  5.863086]
[15.783875   -0.24239631]
[14.496899   1.1384513]
[16.263931   1.7566997]
[15.346129    0.23107105]
[11.351755  4.576934]
[11.366587  5.156543]
[13.506253   5.9248343]
[15.402687   -0.19351014]
[12.811382   5.8012996]
[15.480856  1.037303]
[14.573435  0.697424]
[12.972984   5.4060473]
[15.239797  -0.6321601]
[15.37758    2.1505816]
[11.494878   5.8890743]
[13.976458   2.7060783]
[14.660857   1.7994577]
[14.928238  2.86631 ]
[13.738127   4.9535356]
[12.988091   2.5489714]
[16.238008  -1.2624849]
[15.759243  -0.9589732]
[12.56089    1.8794763]
[15.540648   1.5569692]
[14.854748    0.45647857]
[13.998273    0.97304666]
[13.149163   5.8949947]
[14.415813   2.4745727]
[14.822527   -0.31075713]
[16.0833      0.43203735]
[12.310406  5.438607]
[15.24784     0.71949816]
[13.75312    3.8668168]
[15.51963    -0.47285423]
[14.739497    0.21778722]
[14.349337   -0.10728806]
[15.868321    0.14948954]
[13.471362   4.7857227]
[14.0991335  5.381628 ]
[15.468497  -1.4188539]
[16.10248    1.9254223]
[13.98704    5.2345595]
[13.906204    0.42304644]
[15.809395    0.31287265]
[11.611376  5.815343]
[15.666898    0.47717112]
[11.766317   4.7430873]
[12.957609   5.3010316]
[16.100943   2.4576385]
[13.920846   2.8863888]
[16.573324    0.17748334]
[13.883693   2.8690503]
[14.919637   3.2624052]
[14.672711   2.2086964]
[15.578424   -0.13499069]
[12.206676   5.4310884]
[15.385717   1.3981832]
[14.894082   3.2283056]
[14.276264   5.0352564]
[11.356137   4.8579197]
[15.531445  -1.2521105]
[15.59736    1.2137681]
[15.82181    -0.82738423]
[15.999868  -0.6961995]
[15.237534 -1.018432]
[13.191208  5.86444 ]
[14.264225  1.265848]
[12.928079  5.251379]
[13.969884  2.045383]
[12.60241   5.810973]
[15.464703   1.7735273]
[14.684261   2.0994353]
[16.241308   0.8124416]
[12.880247  5.992131]
[14.905492   2.5589108]
[11.879135  4.935822]
[15.506026   1.0073918]
[15.527304  -1.0316238]
[13.779882   1.8667724]
[14.423658  3.26427 ]
[14.342822    0.05655038]
[15.818957   1.7479969]
[11.657879  5.985023]
[11.524109  5.350562]
[14.988133   1.9273441]
[15.31197    2.4531276]
[14.741478   1.9256912]
[13.591993   1.8722754]
[15.370305  -0.7323853]
[12.589802    0.50559556]
[13.177863   2.1693695]
[14.452793   2.5570085]
[13.765171  5.902844]
[15.67647    2.7084262]
[12.839287   2.8105216]
[12.835489  5.837701]
[14.021012   1.5471084]
[16.165442  -0.7056294]
[11.553593  5.862682]
[15.90457   -0.4259773]
[15.529696   -0.72086096]
[14.733763   -0.36016175]
[13.607746   2.9521997]
[12.656056  5.898345]
[15.082391   -0.22828627]
[13.239251   6.0217133]
[12.731852   6.2797856]
[15.100532   1.1061499]
[12.019831  6.147453]
[16.060358    0.44863713]
[11.6085615 -0.8585906]
[16.320383  -1.2038126]
[15.840522   1.1198895]
[14.773267   2.6127205]
[14.502028   1.7635609]
[14.907928   3.6511147]
[13.404781   1.8267316]
[15.75165    2.7937746]
[11.5694685  5.157225 ]
[13.438554  3.056814]
[15.499567  1.763186]
[14.850171   3.0296934]
[16.18095     0.51739484]
[14.271305   1.0917666]
[15.838565   1.6989937]
[13.641297  5.035407]
[16.19589    -0.96589124]
[14.00573    2.5028431]
[15.738363    0.30904305]
[14.188371  3.45543 ]
[14.538747   1.6184164]
[14.940314   2.2505004]
[15.308434   2.0773911]
[12.019146   6.0542417]
[15.554665   1.9301754]
[13.98936   1.292797]
[14.156362   1.5953206]
[14.748746   3.1513453]
[14.496034   2.6763566]
[13.936687   2.3821082]
[14.348147   0.7976082]
[16.449991   0.2585987]
[15.28155    3.2214162]
[11.811312   6.1249204]
[16.557602   1.2986685]
[15.245565   2.0208092]
[14.226177   2.2466497]
[11.434412  5.05335 ]
[12.675186   4.9967823]
[14.395373   0.6527906]
[15.818459  -1.0878266]
[15.385755   2.5840154]
[15.116391   2.9770203]
[13.069462   1.7789862]
[12.441599  5.87113 ]
[15.256281    0.14901821]
[11.852659   5.6227794]
[13.237818   1.1440187]
[15.544624  2.921848]
[13.561377   1.5754693]
[14.176448  1.896995]
[13.861904   1.8205078]
[15.621315   0.8257251]
[13.481148   2.5736036]
[16.071188 -1.085666]
[13.504114   1.9545484]
[15.0835495  3.4321918]
[13.968699  1.906377]
[16.078985    0.87063545]
[12.635404   5.9606247]
[15.380808   -0.75141037]
[11.38394    5.4167027]
[13.088597   5.1566987]
[1.5629521e+01 1.2242862e-02]
[14.294876   0.8078415]
[14.341694   4.9160366]
[14.814433    0.37840125]
[16.469797   -0.17374332]
[14.619841  2.350824]
[14.064195    0.69209343]
[13.393752   5.4374585]
[14.269271    0.91316164]
[13.4486885  5.6273127]
[14.235268   1.3567606]
[15.926702   -0.04158516]
[13.738273   4.8483567]
[14.153334   3.0232127]
[13.85369   5.201282]
[13.704433  3.202076]
[15.704411   1.4229823]
[11.505283  4.198278]
[11.410792  4.591228]
[15.181329   1.2939318]
[14.445972   1.3745654]
[15.833521   1.4730955]
[12.604919   5.9746695]
[16.046837   2.6398737]
[15.350915   0.9065985]
[14.609732  -0.2937521]
[13.5683     4.6112647]
[13.049168   6.1292834]
[14.455791  2.211124]
[16.657074    0.57234687]
[11.603632   4.7588305]
[15.133503   -0.19913203]
[11.5340185  5.6467047]
[12.893069  6.156217]
[15.534859   2.2330139]
[15.022345    0.92655253]
[14.207156  2.408678]
[14.107953  5.377358]
[11.789765   6.2882414]
[15.174711  1.447146]
[14.6978445  1.3788495]
[15.642457   1.5824947]
[12.682344   5.9326034]
[14.793476  2.128467]
[15.786173   0.4573325]
[12.033988   5.9521394]
[13.825272   5.0400515]
[12.445573   5.2788305]
[14.63744   3.342307]
[16.079721  0.255035]
[12.009047  5.537196]
[12.230104  5.832987]
[15.47013    2.7211778]
[13.362022   2.0725865]
[15.109961   2.6546674]
[11.520578   4.7932324]
[15.13756    3.3437736]
[15.150458   1.2176919]
[15.813264  0.683677]
[14.650077   1.9481525]
[16.180082    0.59511393]
[15.5765915 -1.0603472]
[14.02358   4.562478]
[15.698179 -1.290083]
[11.877809   5.4964705]
[13.863356   2.6112483]
[14.686668   1.2920916]
[11.335806   -0.08220096]
[14.13381    3.1177707]
[13.804017   1.3174313]
[13.636453   5.7082033]
[14.872162   1.4260474]
[13.462877    0.55875283]
[13.607076   0.5147992]
[11.457555   5.3536353]
[16.306553   1.4292159]
[14.801766   1.4944708]
[15.534009   1.2360951]
[11.22717   5.343782]
[14.136021   5.5805635]
[13.958962   3.1745448]
[15.154038   2.9986365]
[12.453276  -1.6693504]
[16.29056    1.3668435]
[13.773162   5.8725696]
[15.935807   1.4975237]
[16.267488   1.8088793]
[13.427486   2.8356657]
[13.985861   5.6760798]
[13.991555   1.6969651]
[14.30842    3.2281318]
[12.030608  5.030952]
[14.082825   2.1367803]
[16.529295   1.1462853]
[14.594789   2.8917887]
[15.946063   0.9337984]
[15.187317   1.9691842]
[16.086412   1.1866562]
[14.8579235  0.6228983]
[15.563451   1.0551612]
[14.290103   1.9802022]
[13.430088   2.0754716]
[11.761658   1.9175801]
[12.274937  -1.2733074]
[13.034615  4.72812 ]
[11.414796   4.2840824]
[16.445444   1.7144752]
[11.390065  -0.6331992]
[12.215862  -0.8836761]
[12.648952  6.314966]
[13.317511   1.5892296]
[12.167841   5.7476482]
[15.49807    -0.43076682]
[14.290444   2.6383624]
[13.735023   1.4386396]
[13.479771   5.5149436]
[14.038865   2.1527147]
[16.037777   2.4776337]
[14.436003   2.5007057]
[14.388165   3.1699133]
[12.417347  6.090362]
[12.654025  5.12689 ]
[12.278494   1.4489138]
[16.636082   1.5921416]
[11.231315  4.824349]
[11.295627  5.396917]
[15.033628   0.2651993]
[14.379399   3.2943957]
[14.161464   0.9782651]
[12.954289  4.962517]
[16.670643   1.5037355]
[13.131825    0.31609744]
[12.1531105 -1.6185815]
[16.591774   1.1797991]
[15.170955    0.25075015]
[10.634863  -0.9749842]
[15.701634    0.57002246]
[16.076193   2.0963976]
[13.773374  2.171327]
[13.227877  4.058721]
[14.483481   2.9727764]
[11.9494915  5.137687 ]
[12.012712  5.382542]
[11.971621  -1.1563667]
[15.230034   2.1156323]
[16.18869     0.91424054]
[16.788645   1.0502445]
[11.254168   -0.76057684]
[14.829306   1.6453222]
[15.211044   2.9823015]
[11.287688   4.5896354]
[16.164583   2.3791666]
[14.029948   1.1324478]
[15.438542   2.8876019]
[12.478052   3.1799664]
[13.671319   6.2874775]
[13.038933   1.5713925]
[11.685345  -1.4258515]
[13.755775   2.3030088]
[16.20122    1.3320227]
[10.995132 -0.855137]
[10.841549  -0.9136366]
[12.534876  -1.5083636]
[13.334153   4.7541957]
[12.237619  -0.9460927]
[14.85152     0.08762458]
[15.711682   1.3086047]
[13.836448   2.5639024]
[13.599073   1.2063348]
[12.016382 -1.478984]
[15.6349745  1.660508 ]
[14.002107  4.76348 ]
[15.759787   0.7932961]
[14.534687   1.8692749]
[14.283361   0.7038206]
[13.071319   2.4520147]
[12.616899    0.87365323]
[15.925187   1.4087062]
[11.128633    0.08628559]
[10.781623  -1.2961085]
[11.939359 -1.627658]
[10.711757  -1.1851078]
[10.968642   -0.28889534]
[11.659503  -1.6942784]
[11.118757   -0.04570676]
[11.537598    0.19453521]
[10.92843    -0.89807594]
[10.962421  -0.5419386]
[11.72794    3.6509008]
[10.81223   -1.0555843]
[11.374898  0.459258]
[10.863799  -0.6299623]
[11.454824  -0.7908578]
[11.4479475  4.898528 ]
[12.008778   5.7259245]
[11.208238   -0.85192865]
[11.2203045  4.669551 ]
[11.403688  -0.3840946]
[10.809201  -0.5117486]
[11.356703 -1.172445]
[12.21746    1.2806983]
[14.402482  -0.3602117]
[10.898536 -0.834202]
[11.277117   5.2642746]
[11.995755   3.3847506]
[16.138649  -1.0219793]
[12.845505   -0.41210723]
[13.684853    0.23027188]
[11.552478  4.878403]
[11.495041  -1.6070762]
[10.780222   -0.55021876]
[13.495796   2.2553496]
[13.230993   5.5110703]
[12.51123    1.9887373]
[13.076521   1.2151998]
[11.761483   3.5229173]
[12.892957    0.49428853]
[11.564454  0.740881]
[10.919852   -0.58057386]
[10.746118   -0.79275507]
[11.788662   1.0834795]
[11.276321  -0.3256438]
[12.088492    0.13630483]
[10.735491  -0.7179454]
[12.269113   1.2094429]
[11.679507  4.786195]
[11.836237  5.329473]
[11.421792   -0.58380055]
[11.74119     0.72790736]
[11.463044    0.42800486]
[10.635121  -0.4841711]
[11.848241    0.70621336]
[11.609519    0.42246002]
[13.7881775  6.25617  ]
[10.997554  -1.2762798]
[11.686396   0.4992147]
[10.827924  -1.1787481]
[12.023883   0.6969593]
[12.383935  -1.5441765]
[11.44984   -1.4218882]
[12.097868  -1.2440886]
[11.933324   3.5059636]
[12.531083  -1.4666419]
[11.486934  -1.3154702]
[12.331228  -1.1380284]
[12.118787  -1.5791963]
[12.433631  -1.4121805]
[11.541029  -1.6106285]
[11.452118  -1.4323008]
[12.675196  -1.4334121]
[14.622217    0.29909888]
[12.172201  -1.4572015]
[10.680857  -0.6074062]
[11.052457  -1.3887707]
[14.529357    0.05407672]
[13.004371  -1.3070796]
[12.2060585  5.3225317]
[12.104922   4.6942325]
[14.973328  -1.4046165]
[13.474661  2.309099]
[13.945131   4.3523026]
[12.0555935  4.8101115]
[13.42547    -0.11419217]
[13.452199   0.3648019]
[12.921439  1.006087]
[13.084917  5.652268]
[12.086534  4.667628]
[12.940665   5.4566255]
[15.740282  -1.2460204]
[11.021649    0.07949792]
[13.994991  -0.7137074]
[14.576787  -0.9648074]
[13.289685  6.00272 ]
[14.821377  -0.9599054]
[13.875042 -1.453226]
[12.777824  -1.1830564]
[12.11476  -0.662792]
[11.620009   3.8469975]
[14.466689 -1.126257]
[13.620423  5.684594]
[14.885143  -1.3297112]
[12.438471   -0.71902746]
[13.409398   2.2344158]
[15.640446  -1.0661994]
[13.631768  -1.4368085]
[14.192843  -0.4226459]
[14.481414  -0.8397722]
[13.0789995   0.66001314]
[13.437667    0.80565023]
[12.340223   3.6272573]
[10.944894   -0.86673427]
[13.993489   -0.38151133]
[13.218894  -1.4486552]
[12.556352   1.0821537]
[13.309048  6.007403]
[14.281165   0.4621677]
[15.320535   -0.54814076]
[14.649379   -0.14190306]
[15.270191  -1.2012458]
[12.611978   1.5412978]
[15.983246  -1.3085959]
[14.015758   -0.03191299]
[12.878891    0.15321742]
[11.195272   -0.23643427]
[14.136108   1.4653927]
[12.360495  -0.6979308]
